Date,CD91
2013-01-02,2.89
2013-01-03,2.88
2013-01-04,2.88
2013-01-07,2.87
2013-01-08,2.87
2013-01-09,2.87
2013-01-10,2.87
2013-01-11,2.85
2013-01-14,2.85
2013-01-15,2.85
2013-01-16,2.85
2013-01-17,2.85
2013-01-18,2.85
2013-01-21,2.85
2013-01-22,2.85
2013-01-23,2.85
2013-01-24,2.84
2013-01-25,2.84
2013-01-28,2.84
2013-01-29,2.84
2013-01-30,2.84
2013-01-31,2.84
2013-02-01,2.84
2013-02-04,2.84
2013-02-05,2.84
2013-02-06,2.84
2013-02-07,2.84
2013-02-08,2.84
2013-02-12,2.84
2013-02-13,2.84
2013-02-14,2.83
2013-02-15,2.83
2013-02-18,2.83
2013-02-19,2.83
2013-02-20,2.83
2013-02-21,2.83
2013-02-22,2.83
2013-02-25,2.83
2013-02-26,2.82
2013-02-27,2.82
2013-02-28,2.82
2013-03-04,2.82
2013-03-05,2.82
2013-03-06,2.82
2013-03-07,2.82
2013-03-08,2.82
2013-03-11,2.82
2013-03-12,2.81
2013-03-13,2.81
2013-03-14,2.81
2013-03-15,2.81
2013-03-18,2.81
2013-03-19,2.81
2013-03-20,2.81
2013-03-21,2.81
2013-03-22,2.81
2013-03-25,2.81
2013-03-26,2.81
2013-03-27,2.81
2013-03-28,2.81
2013-03-29,2.81
2013-04-01,2.81
2013-04-02,2.81
2013-04-03,2.8
2013-04-04,2.8
2013-04-05,2.8
2013-04-08,2.8
2013-04-09,2.8
2013-04-10,2.8
2013-04-11,2.79
2013-04-12,2.79
2013-04-15,2.79
2013-04-16,2.79
2013-04-17,2.79
2013-04-18,2.79
2013-04-19,2.79
2013-04-22,2.79
2013-04-23,2.79
2013-04-24,2.79
2013-04-25,2.78
2013-04-26,2.79
2013-04-29,2.8
2013-04-30,2.81
2013-05-02,2.81
2013-05-03,2.81
2013-05-06,2.81
2013-05-07,2.81
2013-05-08,2.81
2013-05-09,2.69
2013-05-10,2.69
2013-05-13,2.69
2013-05-14,2.69
2013-05-15,2.69
2013-05-16,2.69
2013-05-20,2.69
2013-05-21,2.69
2013-05-22,2.69
2013-05-23,2.69
2013-05-24,2.69
2013-05-27,2.69
2013-05-28,2.69
2013-05-29,2.69
2013-05-30,2.69
2013-05-31,2.69
2013-06-03,2.69
2013-06-04,2.69
2013-06-05,2.69
2013-06-07,2.69
2013-06-10,2.69
2013-06-11,2.69
2013-06-12,2.69
2013-06-13,2.69
2013-06-14,2.69
2013-06-17,2.69
2013-06-18,2.69
2013-06-19,2.69
2013-06-20,2.69
2013-06-21,2.7
2013-06-24,2.69
2013-06-25,2.69
2013-06-26,2.69
2013-06-27,2.69
2013-06-28,2.69
2013-07-01,2.69
