,CD91일,콜 금리,국고채 3년,회사채 3년
2003.08.22,3.87,,4.64,5.89
2003.08.25,3.86,,4.58,5.83
2003.08.26,3.85,,4.57,5.79
2003.08.27,3.85,3.71,4.57,5.75
2003.08.28,3.85,3.72,4.50,5.63
2003.08.29,3.85,3.72,4.46,5.60
2003.09.01,3.85,3.65,4.42,5.53
2003.09.02,3.85,3.66,4.43,5.53
2003.09.03,3.85,3.65,4.43,5.52
2003.09.04,3.84,3.69,4.40,5.46
2003.09.05,3.84,3.67,4.38,5.43
2003.09.08,3.83,3.77,4.31,5.32
2003.09.09,3.83,3.77,4.39,5.38
2003.09.15,3.82,3.75,4.27,5.26
2003.09.16,3.82,3.74,4.27,5.26
2003.09.17,3.81,3.75,4.20,5.18
2003.09.18,3.81,3.76,4.17,5.14
2003.09.19,3.80,3.76,4.12,5.08
2003.09.22,3.80,3.74,4.13,5.08
2003.09.23,3.80,3.76,4.09,5.03
2003.09.24,3.80,3.75,4.08,5.02
2003.09.25,3.82,3.75,4.20,5.12
2003.09.26,3.90,3.75,4.18,5.10
2003.09.29,3.90,3.75,4.11,5.05
2003.09.30,3.89,3.77,4.11,5.05
2003.10.01,3.88,3.74,4.00,4.95
2003.10.02,3.88,3.76,3.98,4.93
2003.10.06,3.88,3.74,4.06,5.01
2003.10.07,3.88,3.69,4.08,5.03
2003.10.08,3.88,3.74,4.12,5.06
2003.10.09,3.88,3.74,4.12,5.06
2003.10.10,3.88,3.74,4.17,5.10
2003.10.13,3.88,3.75,4.16,5.09
2003.10.14,3.88,3.74,4.22,5.14
2003.10.15,3.91,3.74,4.21,5.13
2003.10.16,3.92,3.74,4.31,5.22
2003.10.17,3.93,3.74,4.33,5.24
2003.10.20,3.94,3.75,4.41,5.31
2003.10.21,3.94,3.77,4.41,5.31
2003.10.22,3.94,3.75,4.42,5.31
2003.10.23,3.94,3.74,4.35,5.23
2003.10.24,3.96,3.75,4.44,5.31
2003.10.27,3.97,3.76,4.47,5.34
2003.10.28,3.99,3.75,4.47,5.35
2003.10.29,4.03,3.75,4.39,5.26
2003.10.30,4.04,3.77,4.51,5.35
2003.10.31,4.05,3.84,4.48,5.32
2003.11.03,4.09,3.82,4.55,5.38
2003.11.04,4.14,3.82,4.65,5.46
2003.11.05,4.15,3.82,4.69,5.49
2003.11.06,4.16,3.80,4.68,5.48
2003.11.07,4.17,3.78,4.77,5.55
2003.11.10,4.20,3.78,4.70,5.49
2003.11.11,4.21,3.77,4.71,5.49
2003.11.12,4.24,3.77,4.81,5.59
2003.11.13,4.25,3.76,4.92,5.68
2003.11.14,4.25,3.76,4.95,5.70
2003.11.17,4.25,3.76,4.88,5.63
2003.11.18,4.27,3.76,4.97,5.71
2003.11.19,4.26,3.76,4.87,5.62
2003.11.20,4.26,3.77,4.78,5.52
2003.11.21,4.26,3.75,4.71,5.45
2003.11.24,4.27,3.78,4.71,5.45
2003.11.25,4.27,3.78,4.71,5.45
2003.11.26,4.27,3.77,4.70,5.44
2003.11.27,4.27,3.77,4.76,5.49
2003.11.28,4.28,3.78,4.88,5.60
2003.12.01,4.31,3.78,5.01,5.71
2003.12.02,4.31,3.77,5.00,5.71
2003.12.03,4.32,3.78,5.06,5.76
2003.12.04,4.33,3.75,5.06,5.76
2003.12.05,4.33,3.74,4.99,5.70
2003.12.08,4.33,3.78,4.88,5.61
2003.12.09,4.34,3.78,4.91,5.64
2003.12.10,4.35,3.78,4.90,5.63
2003.12.11,4.35,3.77,4.83,5.56
2003.12.12,4.35,3.77,4.84,5.56
2003.12.15,4.35,3.76,4.96,5.67
2003.12.16,4.35,3.76,4.84,5.57
2003.12.17,4.35,3.76,4.84,5.57
2003.12.18,4.35,3.77,4.84,5.57
2003.12.19,4.35,3.74,4.81,5.55
2003.12.22,4.35,3.72,4.80,5.55
2003.12.23,4.35,3.77,4.79,5.55
2003.12.24,4.35,3.77,4.77,5.53
2003.12.26,4.35,3.78,4.73,5.50
2003.12.29,4.35,3.78,4.73,5.50
2003.12.30,4.36,3.77,4.81,5.57
2003.12.31,4.36,3.97,4.82,5.58
2004.01.02,4.33,3.77,4.80,5.56
2004.01.05,4.33,3.76,4.87,5.63
2004.01.06,4.33,3.74,4.87,5.63
2004.01.07,4.33,3.75,4.89,5.65
2004.01.08,4.33,3.78,4.94,5.70
2004.01.09,4.30,3.78,4.97,5.73
2004.01.12,4.27,3.79,4.87,5.65
2004.01.13,4.27,3.79,4.84,5.62
2004.01.14,4.27,3.79,4.82,5.61
2004.01.15,4.24,3.80,4.80,5.59
2004.01.16,4.24,3.80,4.83,5.62
2004.01.19,4.24,3.77,4.92,5.71
2004.01.20,4.24,3.75,4.94,5.72
2004.01.26,4.22,3.81,4.93,5.72
2004.01.27,4.21,3.78,4.90,5.70
2004.01.28,4.20,3.78,4.87,5.68
2004.01.29,4.19,3.78,4.92,5.73
2004.01.30,4.19,3.78,4.94,5.74
2004.02.02,4.19,3.78,4.95,5.75
2004.02.03,4.18,3.77,4.91,5.71
2004.02.04,4.18,3.78,4.89,5.70
2004.02.05,4.17,3.79,4.90,5.71
2004.02.06,4.17,3.74,4.94,5.75
2004.02.09,4.11,3.78,4.89,5.70
2004.02.10,4.11,3.79,4.87,5.68
2004.02.11,4.11,3.79,4.84,5.65
2004.02.12,4.08,3.73,4.80,5.61
2004.02.13,4.08,3.73,4.82,5.63
2004.02.16,4.07,3.68,4.82,5.63
2004.02.17,4.04,3.68,4.78,5.59
2004.02.18,4.01,3.73,4.75,5.55
2004.02.19,4.00,3.78,4.75,5.55
2004.02.20,4.00,3.76,4.75,5.55
2004.02.23,4.00,3.78,4.80,5.59
2004.02.24,4.00,3.78,4.77,5.56
2004.02.25,4.00,3.78,4.73,5.52
2004.02.26,4.00,3.78,4.76,5.54
2004.02.27,4.00,3.78,4.78,5.56
2004.03.02,4.00,3.79,4.75,5.53
2004.03.03,4.00,3.79,4.79,5.56
2004.03.04,4.00,3.74,4.78,5.55
2004.03.05,3.98,3.75,4.77,5.54
2004.03.08,3.97,3.79,4.68,5.45
2004.03.09,3.97,3.78,4.66,5.43
2004.03.10,3.97,3.80,4.66,5.43
2004.03.11,3.96,3.79,4.60,5.38
2004.03.12,3.95,3.78,4.57,5.35
2004.03.15,3.94,3.78,4.57,5.35
2004.03.16,3.94,3.73,4.60,5.38
2004.03.17,3.94,3.73,4.56,5.36
2004.03.18,3.91,3.67,4.52,5.33
2004.03.19,3.90,3.73,4.52,5.33
2004.03.22,3.90,3.72,4.48,5.29
2004.03.23,3.88,3.78,4.40,5.21
2004.03.24,3.88,3.78,4.41,5.21
2004.03.25,3.88,3.77,4.42,5.22
2004.03.26,3.88,3.75,4.51,5.31
2004.03.29,3.88,3.73,4.56,5.36
2004.03.30,3.90,3.73,4.53,5.33
2004.03.31,3.90,3.74,4.50,5.30
2004.04.01,3.90,3.75,4.40,5.22
2004.04.02,3.90,3.76,4.42,5.23
2004.04.06,3.95,3.69,4.63,5.42
2004.04.07,3.95,3.69,4.57,5.35
2004.04.08,3.94,3.75,4.56,5.34
2004.04.09,3.91,3.75,4.49,5.26
2004.04.12,3.91,3.76,4.54,5.30
2004.04.13,3.91,3.75,4.55,5.31
2004.04.14,3.91,3.75,4.65,5.40
2004.04.16,3.91,3.76,4.60,5.34
2004.04.19,3.91,3.75,4.59,5.33
2004.04.20,3.91,3.76,4.58,5.32
2004.04.21,3.91,3.70,4.63,5.36
2004.04.22,3.91,3.70,4.60,5.33
2004.04.23,3.90,3.76,4.55,5.27
2004.04.26,3.90,3.77,4.54,5.26
2004.04.27,3.90,3.76,4.52,5.24
2004.04.28,3.90,3.76,4.51,5.23
2004.04.29,3.90,3.76,4.49,5.21
2004.04.30,3.90,3.76,4.43,5.14
2004.05.03,3.90,3.76,4.49,5.19
2004.05.04,3.90,3.75,4.49,5.19
2004.05.06,3.90,3.72,4.44,5.13
2004.05.07,3.90,3.68,4.42,5.11
2004.05.10,3.90,3.78,4.42,5.11
2004.05.11,3.90,3.77,4.43,5.12
2004.05.12,3.90,3.77,4.41,5.10
2004.05.13,3.90,3.77,4.39,5.08
2004.05.14,3.90,3.76,4.39,5.08
2004.05.17,3.90,3.76,4.40,5.08
2004.05.18,3.90,3.76,4.41,5.09
2004.05.19,3.90,3.75,4.43,5.11
2004.05.20,3.90,3.71,4.43,5.11
2004.05.21,3.90,3.69,4.39,5.07
2004.05.24,3.89,3.77,4.37,5.05
2004.05.25,3.89,3.77,4.31,4.99
2004.05.27,3.89,3.77,4.28,4.96
2004.05.28,3.89,3.75,4.23,4.90
2004.05.31,3.89,3.77,4.24,4.91
2004.06.01,3.89,3.76,4.28,4.94
2004.06.02,3.89,3.76,4.27,4.93
2004.06.03,3.88,3.76,4.18,4.83
2004.06.04,3.88,3.67,4.19,4.83
2004.06.07,3.88,3.70,4.22,4.86
2004.06.08,3.88,3.77,4.24,4.88
2004.06.09,3.88,3.76,4.26,4.90
2004.06.10,3.88,3.77,4.23,4.87
2004.06.11,3.89,3.77,4.23,4.87
2004.06.14,3.90,3.77,4.31,4.94
2004.06.15,3.90,3.77,4.33,4.96
2004.06.16,3.90,3.77,4.28,4.90
2004.06.17,3.93,3.77,4.37,4.99
2004.06.18,3.93,3.77,4.39,5.01
2004.06.21,3.93,3.67,4.35,4.97
2004.06.22,3.93,3.68,4.32,4.94
2004.06.23,3.93,3.77,4.31,4.93
2004.06.24,3.93,3.78,4.30,4.92
2004.06.25,3.93,3.78,4.31,4.92
2004.06.28,3.93,3.77,4.28,4.89
2004.06.29,3.93,3.76,4.29,4.90
2004.06.30,3.93,3.78,4.24,4.84
2004.07.01,3.93,3.78,4.22,4.81
2004.07.02,3.91,3.78,4.24,4.83
2004.07.05,3.91,3.77,4.21,4.79
2004.07.06,3.91,3.71,4.21,4.79
2004.07.07,3.91,3.69,4.20,4.78
2004.07.08,3.91,3.77,4.23,4.81
2004.07.09,3.91,3.77,4.23,4.81
2004.07.12,3.91,3.76,4.25,4.83
2004.07.13,3.91,3.76,4.25,4.83
2004.07.14,3.91,3.76,4.22,4.80
2004.07.15,3.91,3.77,4.21,4.79
2004.07.16,3.91,3.76,4.21,4.79
2004.07.19,3.90,3.76,4.19,4.77
2004.07.20,3.90,3.77,4.19,4.77
2004.07.21,3.90,3.71,4.20,4.78
2004.07.22,3.90,3.70,4.20,4.78
2004.07.23,3.90,3.78,4.18,4.76
2004.07.26,3.90,3.79,4.15,4.73
2004.07.27,3.90,3.78,4.12,4.70
2004.07.28,3.90,3.77,4.10,4.68
2004.07.29,3.90,3.78,4.11,4.68
2004.07.30,3.90,3.77,4.08,4.65
2004.08.02,3.90,3.78,4.08,4.65
2004.08.03,3.90,3.78,4.07,4.64
2004.08.04,3.90,3.77,4.06,4.62
2004.08.05,3.90,3.70,4.09,4.65
2004.08.06,3.90,3.69,4.12,4.68
2004.08.09,3.90,3.77,4.08,4.64
2004.08.10,3.90,3.78,4.04,4.60
2004.08.11,3.90,3.78,4.04,4.60
2004.08.12,3.73,3.53,3.87,4.42
2004.08.13,3.67,3.53,3.74,4.30
2004.08.16,3.65,3.53,3.74,4.30
2004.08.17,3.62,3.52,3.71,4.26
2004.08.18,3.59,3.53,3.70,4.24
2004.08.19,3.58,3.51,3.67,4.22
2004.08.20,3.58,3.46,3.67,4.23
2004.08.23,3.57,3.52,3.72,4.28
2004.08.24,3.56,3.52,3.69,4.25
2004.08.25,3.56,3.52,3.64,4.20
2004.08.26,3.55,3.52,3.62,4.18
2004.08.27,3.53,3.51,3.59,4.15
2004.08.30,3.52,3.51,3.57,4.12
2004.08.31,3.52,3.52,3.56,4.11
2004.09.01,3.52,3.53,3.59,4.14
2004.09.02,3.52,3.52,3.62,4.16
2004.09.03,3.52,3.52,3.62,4.16
2004.09.06,3.52,3.49,3.64,4.17
2004.09.07,3.52,3.45,3.65,4.17
2004.09.08,3.51,3.53,3.63,4.14
2004.09.09,3.51,3.53,3.65,4.16
2004.09.10,3.51,3.53,3.63,4.14
2004.09.13,3.51,3.52,3.65,4.16
2004.09.14,3.53,3.52,3.62,4.13
2004.09.15,3.52,3.53,3.59,4.10
2004.09.16,3.52,3.52,3.57,4.08
2004.09.17,3.53,3.52,3.56,4.06
2004.09.20,3.53,3.53,3.54,4.04
2004.09.21,3.53,3.44,3.52,4.02
2004.09.22,3.53,3.43,3.52,4.02
2004.09.23,3.54,3.55,3.55,4.05
2004.09.24,3.54,3.54,3.55,4.05
2004.09.30,3.54,3.55,3.53,4.03
2004.10.01,3.54,3.53,3.51,4.01
2004.10.04,3.52,3.52,3.42,3.91
2004.10.05,3.47,3.53,3.40,3.89
2004.10.06,3.43,3.45,3.46,3.94
2004.10.07,3.54,3.47,3.63,4.10
2004.10.08,3.54,3.53,3.68,4.15
2004.10.11,3.53,3.53,3.64,4.11
2004.10.12,3.53,3.52,3.63,4.10
2004.10.13,3.53,3.52,3.61,4.08
2004.10.14,3.53,3.51,3.56,4.02
2004.10.15,3.53,3.52,3.56,4.02
2004.10.18,3.53,3.51,3.57,4.03
2004.10.19,3.53,3.52,3.57,4.03
2004.10.20,3.53,3.52,3.56,4.02
2004.10.21,3.53,3.48,3.55,4.01
2004.10.22,3.53,3.45,3.54,4.00
2004.10.25,3.53,3.54,3.52,3.98
2004.10.26,3.53,3.52,3.48,3.94
2004.10.27,3.53,3.53,3.48,3.94
2004.10.28,3.53,3.54,3.50,3.96
2004.10.29,3.53,3.53,3.45,3.91
2004.11.01,3.53,3.53,3.47,3.93
2004.11.02,3.53,3.53,3.51,3.96
2004.11.03,3.54,3.53,3.56,4.01
2004.11.04,3.54,3.53,3.54,3.99
